country_code,country,year,total_payout_usd,gov_exp_usd,gov_exp_pct_gdp,goods_services_lcu,lcu_per_usd,goods_services_usd,payout_share_of_gov_exp,payout_pct_of_gov_exp,payout_share_of_goods_services,payout_pct_of_goods_services
AIA,Anguilla,2010,4282733.0,,,,,,,,,
AIA,Anguilla,2014,1052714.0,,,,,,,,,
AIA,Anguilla,2017,6687923.0,,,,,,,,,
BHS,"Bahamas, The",2017,163598.0,1457599999.9999971,11.7105464011119,575738711.9,1.0,575738711.9,0.00011223792535675104,0.011223792535675105,0.00028415320460232547,0.028415320460232547
BHS,"Bahamas, The",2019,12824153.0,1680199999.9999962,12.6549672365745,591225000.0,1.0,591225000.0,0.00763251577193193,0.763251577193193,0.02169081652501163,2.169081652501163
BHS,"Bahamas, The",2025,1297877.0,,,,,,,,,
BLZ,Belize,2016,261073.0,405790250.0000006,18.1188316269796,215509523.6,2.0,107754761.8,0.0006433693268874736,0.06433693268874735,0.0024228442032526495,0.24228442032526495
BLZ,Belize,2020,203136.0,353803399.99999946,17.2815933847204,,,,0.000574149372221975,0.057414937222197496,,
BLZ,Belize,2022,455000.0,449884400.00000113,15.8042476117203,,,,0.001011370921063275,0.1011370921063275,,
CIV,Cote d'Ivoire,2019,738540.0,6538044028.880542,10.8276425991993,572539383400.0,585.911013180369,977178053.5276394,0.00011296038948921768,0.011296038948921769,0.0007557885662022909,0.07557885662022909
GTM,Guatemala,2020,3628013.0,8915953999.469036,11.4719698943082,9121493544.0,7.72165,1181288137.1209521,0.00040691248521650694,0.040691248521650694,0.003071234600596457,0.3071234600596457
GTM,Guatemala,2024,6376184.0,12337063864.351797,10.8985066359124,,,,0.0005168315630126643,0.05168315630126643,,
HND,Honduras,2024,4665090.0,5759662719.267444,15.5273902270023,,,,0.0008099588860288925,0.08099588860288924,,
HTI,Haiti,2010,7753579.0,863169086.1394613,7.27840732548793,,,,0.008982688472635201,0.8982688472635201,,
HTI,Haiti,2016,23408834.0,1154987817.4904873,8.20929017383708,,,,0.020267602519706055,2.0267602519706056,,
HTI,Haiti,2020,7163958.0,1060849292.9446573,7.31205557129014,,,,0.006753040274094552,0.6753040274094552,,
HTI,Haiti,2021,39953272.0,1560159991.125296,7.44905982898635,,,,0.025608445433332076,2.5608445433332077,,
LAO,Lao PDR,2023,1500000.0,,,,,,,,,
LAO,Lao PDR,2024,3000000.0,,,,,,,,,
LAO,Lao PDR,2025,2000000.0,,,,,,,,,
MRT,Mauritania,2015,6300000.0,901458387.1761923,14.6177765924186,,,,0.006988675339451525,0.6988675339451524,,
MRT,Mauritania,2018,2400000.0,970395907.7850184,12.9844027999052,,,,0.002473217354634286,0.24732173546342862,,
MWI,Malawi,2017,8100000.0,2023572022.772325,22.6260648963785,229630000000.0,730.2725,314444265.6679527,0.004002822686243149,0.4002822686243149,0.025759731960109743,2.5759731960109744
NER,Niger,2015,3500000.0,1597602014.9723072,16.4975609653854,,,,0.0021907834161442696,0.21907834161442696,,
NIC,Nicaragua,2016,1610193.0,1921279672.5700579,14.4608322130013,11239339970.0,28.6209624101588,392696087.8859433,0.0008380836080184394,0.08380836080184394,0.004100354064305507,0.4100354064305507
NIC,Nicaragua,2020,22847183.0,1919361281.7518957,15.0817033768448,11321100000.0,34.3421221197024,329656389.91496617,0.011903534377408223,1.1903534377408223,0.06930605229855656,6.930605229855656
NIC,Nicaragua,2022,8924577.0,2178486574.0411544,13.933777682316,15078967020.0,35.874421141967,420326420.3296137,0.004096686711933532,0.40966867119335315,0.021232491150571693,2.1232491150571695
PAN,Panama,2020,2670556.0,8409269218.403103,14.7376302795166,846041082.8,1.0,846041082.8,0.000317572898505339,0.0317572898505339,0.003156532294107645,0.3156532294107645
PAN,Panama,2024,26700269.0,10731603480.377222,12.4030425653969,,,,0.0024880036845212872,0.24880036845212872,,
SEN,Senegal,2015,16000000.0,2541663172.5714,14.2992772620651,575886700800.0,591.21169798261,974078663.8104364,0.006295090621237905,0.6295090621237904,0.016425778116739172,1.6425778116739171
SEN,Senegal,2019,22000000.0,3278349369.4118257,14.0076479696607,903630101600.0,585.911013180369,1542265090.2140036,0.006710694169836773,0.6710694169836773,0.01426473317693218,1.426473317693218
TON,Tonga,2018,3500000.0,93944717.39783195,19.0352295404744,152342504.2,2.23657147594223,68114301.6615736,0.03725595325576841,3.725595325576841,0.05138421615756666,5.138421615756665
TON,Tonga,2020,4500000.0,111980084.84872659,22.1054859867712,161306408.3,2.29956150787889,70146594.36041294,0.04018571700565356,4.018571700565356,0.06415136816021341,6.415136816021342
VUT,Vanuatu,2024,1200000.0,,,,,,,,,
WSM,Samoa,2025,285000.0,,,,,,,,,
